model,player,split,samples,entries,raw_rmse,effective_rmse,skill_vs_zero,active_fraction,active_rmse,inactive_rmse,negative_prediction_fraction,gate_brier,gate_precision,gate_recall,gate_positive_rate
checkpoint_single_head,1,train,6478,19434,0.22444479,0.22444765,0.2148391,0.5295358649789029,0.2983339,0.08306872,0.08140372542965936,,,,
refit_single_head,1,train,6478,19434,0.23016454,0.2301673,0.1743123,0.5295358649789029,0.30738202,0.07911176,0.029021302871256562,,,,
hurdle_log_magnitude,1,train,6478,19434,0.23543674,0.23543824,0.13606203,0.5295358649789029,0.31985807,0.05164411,0.0,0.21476561,0.6665730337078651,0.6917695073365077,0.5495523309663476
checkpoint_single_head,1,validation,862,2586,0.21565846,0.21566099,0.13480216,0.5131477184841454,0.29186094,0.07581372,0.088553750966744,,,,
refit_single_head,1,validation,862,2586,0.2146485,0.21465135,0.14288425,0.5131477184841454,0.29029757,0.076253824,0.03634957463263728,,,,
hurdle_log_magnitude,1,validation,862,2586,0.21584268,0.21584399,0.13333315,0.5131477184841454,0.2976638,0.048002347,0.0,0.21751615,0.640418118466899,0.6925395629238885,0.5549110595514308
checkpoint_single_head,1,test,852,2556,0.19130212,0.19130625,0.23348147,0.5379499217527387,0.24814214,0.08671104,0.0848982785602504,,,,
refit_single_head,1,test,852,2556,0.19948629,0.19948995,0.16649842,0.5379499217527387,0.26037657,0.0848355,0.04499217527386541,,,,
hurdle_log_magnitude,1,test,852,2556,0.20125215,0.20125403,0.15169203,0.5379499217527387,0.26907933,0.057986844,0.0,0.22608076,0.6352288488210819,0.6661818181818182,0.5641627543035994
checkpoint_single_head,2,train,6478,19434,0.16214447,0.16214728,0.26589036,0.5158999691262736,0.21622464,0.06697988,0.05516105793969332,,,,
refit_single_head,2,train,6478,19434,0.16160727,0.1616107,0.27074105,0.5158999691262736,0.2131266,0.07446456,0.05387465267057734,,,,
hurdle_log_magnitude,2,train,6478,19434,0.15636195,0.1563636,0.31732666,0.5158999691262736,0.21248028,0.048904374,0.0,0.18197046,0.7350710394188655,0.6863155794933173,0.4816815889677884
checkpoint_single_head,2,validation,862,2586,0.1294629,0.12946591,0.20584643,0.5239752513534416,0.16696101,0.067285076,0.06419180201082754,,,,
refit_single_head,2,validation,862,2586,0.13046591,0.13047072,0.19347131,0.5239752513534416,0.16440511,0.07751272,0.057617942768754836,,,,
hurdle_log_magnitude,2,validation,862,2586,0.12775363,0.12775575,0.22668827,0.5239752513534416,0.16805367,0.05657086,0.0,0.20109746,0.6934865900383141,0.6678966789667896,0.5046403712296984
checkpoint_single_head,2,test,852,2556,0.17330843,0.17331167,0.31659687,0.5383411580594679,0.22499771,0.07765535,0.060641627543035995,,,,
refit_single_head,2,test,852,2556,0.18129127,0.18129566,0.2521816,0.5383411580594679,0.23561661,0.080369964,0.04773082942097027,,,,
hurdle_log_magnitude,2,test,852,2556,0.17414328,0.17414562,0.31000423,0.5383411580594679,0.2314888,0.056592673,0.0,0.18117562,0.7587044534412956,0.6809593023255814,0.4831768388106416
